,country,GA_FA,revision_id,article_quality,page,Population mid-2018 (millions),frequency,articles-per-population-percentage,high-quality-percentage
23345,Mexico,9,757217077,Stub,Mirna Esmeralda Hernández,130.8,1077,0.000823394495412844,0.8356545961002786
23346,Mexico,9,757217081,Stub,Mirna Rincón Vargas,130.8,1077,0.000823394495412844,0.8356545961002786
23347,Mexico,9,757217083,Stub,Mirna Velázquez López,130.8,1077,0.000823394495412844,0.8356545961002786
23348,Mexico,9,757217086,Stub,Mónica Arriola Gordillo,130.8,1077,0.000823394495412844,0.8356545961002786
23349,Mexico,9,757217087,Stub,Mónica Fernández Balboa,130.8,1077,0.000823394495412844,0.8356545961002786
23350,Mexico,9,757217091,Stub,Nancy González Ulloa,130.8,1077,0.000823394495412844,0.8356545961002786
23351,Mexico,9,757217094,Stub,Narcedalia Ramírez,130.8,1077,0.000823394495412844,0.8356545961002786
23352,Mexico,9,757217095,Stub,Nelly Campos,130.8,1077,0.000823394495412844,0.8356545961002786
23353,Mexico,9,757217096,Stub,Nelly González Aguilar,130.8,1077,0.000823394495412844,0.8356545961002786
23354,Mexico,9,757217100,Stub,Nelly Hurtado Pérez,130.8,1077,0.000823394495412844,0.8356545961002786
23355,Mexico,9,757217101,Stub,Nelly Márquez Zapata,130.8,1077,0.000823394495412844,0.8356545961002786
23356,Mexico,9,757217102,Stub,Nelly Vargas,130.8,1077,0.000823394495412844,0.8356545961002786
23357,Mexico,9,757217108,Stub,Nohelia Ibarra Fránquez,130.8,1077,0.000823394495412844,0.8356545961002786
23358,Mexico,9,757217109,Stub,Nohelia Linares González,130.8,1077,0.000823394495412844,0.8356545961002786
23359,Mexico,9,757217111,Stub,Norberta Díaz Azuara,130.8,1077,0.000823394495412844,0.8356545961002786
23360,Mexico,9,757217112,Stub,Norma Leticia Salazar Vázquez,130.8,1077,0.000823394495412844,0.8356545961002786
23361,Mexico,9,757217114,Stub,Norma Ponce Orozco,130.8,1077,0.000823394495412844,0.8356545961002786
23362,Mexico,9,757217116,Stub,Norma Reyes Terán,130.8,1077,0.000823394495412844,0.8356545961002786
23363,Mexico,9,757217128,Stub,Nuvia Mayorga Delgado,130.8,1077,0.000823394495412844,0.8356545961002786
23364,Mexico,9,757217129,Stub,Obdulia Torres Abarca,130.8,1077,0.000823394495412844,0.8356545961002786
23365,Mexico,9,757217132,Stub,Ofelia Malcos Amaro,130.8,1077,0.000823394495412844,0.8356545961002786
23366,Mexico,9,757217135,Stub,Olga Luz Espinosa,130.8,1077,0.000823394495412844,0.8356545961002786
23367,Mexico,9,757217139,Stub,Olivia Guillén Padilla,130.8,1077,0.000823394495412844,0.8356545961002786
23368,Mexico,9,757217140,Stub,Olivia Utrilla Nieto,130.8,1077,0.000823394495412844,0.8356545961002786
23369,Mexico,9,757217142,Stub,Omeheira López Reyna,130.8,1077,0.000823394495412844,0.8356545961002786
23370,Mexico,9,757217143,Stub,Oralia López Hernández,130.8,1077,0.000823394495412844,0.8356545961002786
23371,Mexico,9,757217144,Stub,Patricia Aguilar García,130.8,1077,0.000823394495412844,0.8356545961002786
23372,Mexico,9,757217152,Stub,Patricia Chozas y Chozas,130.8,1077,0.000823394495412844,0.8356545961002786
23373,Mexico,9,757217155,Stub,Patricia Jiménez Case,130.8,1077,0.000823394495412844,0.8356545961002786
23374,Mexico,9,757217157,Stub,Patricia Lugo Barriga,130.8,1077,0.000823394495412844,0.8356545961002786
23375,Mexico,9,757217160,Stub,Patricia Peña Recio,130.8,1077,0.000823394495412844,0.8356545961002786
23376,Mexico,9,757217163,Stub,Patricia Retamoza,130.8,1077,0.000823394495412844,0.8356545961002786
23377,Mexico,9,757217165,Stub,Patricia Villanueva Abraján,130.8,1077,0.000823394495412844,0.8356545961002786
23378,Mexico,9,757217171,Stub,Paula Hernández Olmos,130.8,1077,0.000823394495412844,0.8356545961002786
23379,Mexico,9,757217172,Stub,Paulina Alejandra Del Moral,130.8,1077,0.000823394495412844,0.8356545961002786
23380,Mexico,9,757217173,Stub,Paz Gutiérrez Cortina,130.8,1077,0.000823394495412844,0.8356545961002786
23381,Mexico,9,757217176,Stub,Perla López Loyo,130.8,1077,0.000823394495412844,0.8356545961002786
23382,Mexico,9,757217178,Stub,Petra Barrera Barrera,130.8,1077,0.000823394495412844,0.8356545961002786
23383,Mexico,9,757217180,Stub,Pilar Guerrero Rubio,130.8,1077,0.000823394495412844,0.8356545961002786
23384,Mexico,9,757217182,Stub,Prudencia Juárez Capilla,130.8,1077,0.000823394495412844,0.8356545961002786
